"relise_year","count"
"04",26
"1000",12
"1048",11
"1260",17
"1307",98
"1350",22
"1353",144
"1486",93
"1509",27
"1513",53
"1520",13
"1532",60
"1591",41
"1592",51
"1593",21
"1594",13
"1596",125
"1597",20
"1599",64
"16",46
"1600",180
"1607",15
"1608",51
"1609",18
"1615",46
"1622",36
"1623",232
"1666",11
"1667",22
"1668",21
"1670",19
"1671",8
"1673",19
"1678",16
"1689",10
"1692",13
"1696",29
"1697",71
"170",13
"1710",25
"1719",168
"1722",11
"1726",13
"1727",65
"1729",9
"1758",16
"1760",16
"1765",16
"1767",14
"1768",7
"1775",13
"1777",16
"1778",17
"1779",9
"1781",124
"1782",32
"1783",60
"1784",69
"1785",140
"1786",30
"1788",47
"1789",20
"1790",239
"1791",66
"1792",434
"1793",23
"1794",55
"1797",14
"1798",13
"1799",15
"18",19
"1800",28
"1802",43
"1803",11
"1804",6
"1805",9
"1806",13
"1807",13
"1809",54
"1810",19
"1811",102
"1812",147
"1813",155
"1814",93
"1815",117
"1816",688
"1817",175
"1818",113
"1819",327
"1820",248
"1821",130
"1822",1060
"1823",153
"1824",103
"1825",266
"1826",113
"1827",210
"1828",126
"1829",359
"1830",623
"1831",882
"1832",473
"1833",1125
"1834",952
"1835",1070
"1836",714
"1837",823
"1838",293
"1839",453
"1840",460
"1841",740
"1842",333
"1843",666
"1844",837
"1845",526
"1846",294
"1847",1182
"1848",1011
"1849",502
"1850",337
"1851",359
"1852",412
"1853",331
"1854",318
"1855",341
"1856",271
"1857",259
"1858",398
"1859",1077
"1860",587
"1861",139
"1862",978
"1863",698
"1864",418
"1865",556
"1866",1076
"1867",1198
"1868",656
"1869",1644
"1870",706
"1871",572
"1872",352
"1873",455
"1874",252
"1875",834
"1876",958
"1877",343
"1878",1360
"1879",223
"1880",633
"1881",393
"1882",425
"1883",736
"1884",844
"1885",1234
"1886",845
"1887",652
"1888",706
"1889",337
"1890",1046
"1891",721
"1892",928
"1893",605
"1894",1011
"1895",660
"1896",925
"1897",763
"1898",1423
"1899",710
"19",13
"1900",703
"1901",404
"1902",753
"1903",897
"1904",1114
"1905",1169
"1906",738
"1907",628
"1908",739
"1909",1165
"1910",1299
"1911",715
"1912",1049
"1913",697
"1914",581
"1915",669
"1916",587
"1917",405
"1918",490
"1919",365
"1920",1087
"1921",573
"1922",1005
"1923",1308
"1924",1069
"1925",2122
"1926",1374
"1927",1584
"1928",803
"1929",682
"1930",730
"1931",693
"1932",373
"1933",428
"1934",962
"1935",609
"1936",1481
"1937",964
"1938",632
"1939",766
"1940",713
"1941",554
"1942",404
"1943",1081
"1944",624
"1945",1262
"1946",525
"1947",562
"1948",351
"1949",1013
"1950",820
"1951",507
"1952",599
"1953",866
"1954",1220
"1955",1111
"1956",863
"1957",702
"1958",538
"1959",1263
"1960",1272
"1961",969
"1962",1294
"1963",704
"1964",1731
"1965",974
"1966",1545
"1967",1158
"1968",700
"1969",821
"1970",1326
"1971",684
"1972",1321
"1973",612
"1974",704
"1975",977
"1976",650
"1977",1426
"1978",3378
"1979",875
"1980",1736
"1981",982
"1982",1096
"1983",2005
"1984",1334
"1985",1810
"1986",2895
"1987",1979
"1988",2541
"1989",1635
"1990",2572
"1991",2141
"1992",2555
"1993",4053
"1994",2361
"1995",4524
"1996",8950
"1997",5979
"1998",6122
"1999",6220
"2000",9396
"2001",8510
"2002",7246
"2003",15367
"2004",15392
"2005",13400
"2006",14133
"2007",18549
"2008",21581
"2009",24916
"2010",27913
"2011",38586
"2012",41268
"2013",54586
"2014",52936
"2015",56281
"2016",57355
"2017",68089
"20171",16
"20178",15
"2018",70850
"2019",54884
"202",84
"2020",1290
"21",10
"215",38
"25",94
"250",16
"2917",40
"31",30
"335",55
"360",18
"407",12
"420",16
"425",13
"429",20
"450",12
"58",37
"625",18
"75",19
,112550
